run,classification,n_good_subruns,n_bad_subruns,last_good_subrun,first_bad_subrun,persistent_channels
1606,mixed,13,1,327,325.0,
1607,good,8,0,419,,
1608,good,7,0,375,,
1609,mixed,6,1,430,78.0,
1610,good,4,0,217,,
1611,good,4,0,390,,
