event_id,channel,layer,supermodule,row,column,sideband_mean,sideband_rms,nPulses,pulseHeight_max,pulseHeight_min,pulseArea_max,pulseArea_min,pulseDuriation_max,pulseDuriation_min,TDC,TDCRollovers
evt_5,51,2,-1,2,1,-15.4602,5.1032,2,-47.5488,-34.9617,1733,842,194.99,129.99,4.1374e+10,0
evt_5,57,2,-1,1,2,-0.206536,0.708683,1,-67.6285,-67.6285,821,821,82.49,82.49,4.1374e+10,0
evt_5,58,2,-1,2,2,-0.627207,0.826695,1,-618.082,-618.082,29701,29701,342.49,342.49,4.1374e+10,0
evt_5,59,2,-1,2,2,-2.56456,0.741723,1,-504.773,-504.773,26796,26796,347.49,347.49,4.1374e+10,0
evt_5,62,2,-1,4,2,-1.91813,0.720032,1,-49.7242,-49.7242,768,768,92.49,92.49,4.1374e+10,0
evt_5,63,2,-1,4,2,-0.819673,1.0734,1,-41.9157,-41.9157,585,585,87.49,87.49,4.1374e+10,0
evt_5,72,3,-1,1,1,-0.691601,0.684953,2,-199.848,-23.903,11816,1189,324.99,169.99,4.1374e+10,0
evt_5,73,3,-1,1,1,1.47191,0.817516,2,-464.362,-36.8279,23003,1265,329.99,152.49,4.1374e+10,0
evt_7,6,0,-1,4,1,-2.50302,1.09786,3,-1250.2,-17.4633,118610,161,422.49,67.49,4.14207e+10,0
evt_7,7,0,-1,4,1,2.76594,1.0874,1,-1250.16,-1250.16,107844,107844,717.49,717.49,4.14207e+10,0
evt_7,34,1,-1,2,2,-2.27346,1.26586,2,-1145.11,-200.002,78746,7063,907.49,224.99,4.14207e+10,0
evt_7,35,1,-1,2,2,1.45404,0.864724,2,-928.988,-21.3083,54625,859,414.99,169.99,4.14207e+10,0
evt_7,48,2,-1,1,1,10.2127,0.748469,2,-72.4019,-66.0721,2628,2407,182.49,179.99,4.14207e+10,0
evt_7,62,2,-1,4,2,1.18277,0.853062,1,-45.3972,-45.3972,393,393,72.49,72.49,4.14207e+10,0
evt_7,72,3,-1,1,1,-8.2951,0.887856,4,-27.5999,-17.7282,5402,1223,734.99,214.99,4.14207e+10,0
evt_8,14,0,-1,4,2,-0.0963341,0.867384,1,-115.107,-115.107,5045,5045,247.49,247.49,4.14909e+10,0
evt_8,32,1,-1,1,2,0.12208,0.90033,1,-95.0463,-95.0463,4170,4170,237.49,237.49,4.14909e+10,0
evt_8,33,1,-1,1,2,2.99714,0.798643,1,-81.854,-81.854,3364,3364,219.99,219.99,4.14909e+10,0
evt_8,56,2,-1,1,2,-15.1882,0.987133,6,-20.5879,-16.1766,3513,396,567.49,72.49,4.14909e+10,0
evt_8,72,3,-1,1,1,-14.9586,1.25618,5,-60.1966,-15.56,7956,284,974.99,57.49,4.14909e+10,0
evt_8,73,3,-1,1,1,4.59526,0.856686,1,-30.1579,-30.1579,1240,1240,162.49,162.49,4.14909e+10,0
evt_8,78,3,-1,4,1,-10.2963,1.27505,1,-15.4408,-15.4408,283,283,54.99,54.99,4.14909e+10,0
evt_8,80,3,-1,1,2,-4.77865,0.966925,2,-15.5492,-15.0165,274,258,54.99,54.99,4.14909e+10,0
evt_8,87,3,-1,4,2,-4.31776,0.662597,1,-17.1508,-17.1508,509,509,97.49,97.49,4.14909e+10,0
evt_8,93,3,-1,3,3,-8.033,0.853129,2,-19.1783,-16.504,3604,408,582.49,72.49,0,1.38615e+19
evt_9,0,0,-1,1,1,-0.0383943,0.65068,1,-643.931,-643.931,31047,31047,334.99,334.99,4.16106e+10,0
evt_9,1,0,-1,1,1,1.54991,0.955438,2,-1014.24,-24.2081,45926,476,347.49,99.99,4.16106e+10,0
evt_9,8,0,-1,1,2,-0.587562,0.875245,3,-1250.27,-34.0053,80185,582,379.99,102.49,4.16106e+10,0
evt_9,9,0,-1,1,2,-0.384132,0.901848,1,-871.573,-871.573,38063,38063,327.49,327.49,4.16106e+10,0
evt_9,40,1,-1,1,3,2.32379,0.808129,1,-384.603,-384.603,16927,16927,304.99,304.99,4.16106e+10,0
evt_9,41,1,-1,1,3,0.698148,0.901009,1,-243.581,-243.581,13154,13154,312.49,312.49,4.16106e+10,0
evt_9,48,2,-1,1,1,2.68536,0.834425,2,-1010.49,-47.508,57787,1462,649.99,154.99,4.16106e+10,0
evt_9,49,2,-1,1,1,0.102409,0.712498,1,-434.435,-434.435,23953,23953,349.99,349.99,4.16106e+10,0
evt_9,72,3,-1,1,1,-11.655,1.08174,6,-23.796,-15.1665,3550,256,499.99,54.99,4.16106e+10,0
evt_10,8,0,-1,1,2,-868.713,408.386,5,-1250.46,-21.5463,98619,81,687.49,79.99,4.1649e+10,0
evt_10,9,0,-1,1,2,-707.953,447.346,3,-1250.05,-21.4657,71479,250,334.99,87.49,4.1649e+10,0
evt_10,12,0,-1,3,2,-3.21073,4.37104,1,-193.678,-193.678,15530,15530,447.49,447.49,4.1649e+10,0
evt_10,13,0,-1,3,2,-13.663,21.22,3,-256.353,-43.7291,11956,1650,284.99,167.49,4.1649e+10,0
evt_10,24,1,-1,1,1,-0.455265,0.859611,1,-230.468,-230.468,11155,11155,244.99,244.99,4.1649e+10,0
evt_10,25,1,-1,1,1,-0.185196,0.740171,1,-508.856,-508.856,24253,24253,264.99,264.99,4.1649e+10,0
evt_10,32,1,-1,1,2,13.467,0.661434,3,-58.1394,-23.106,1308,369,139.99,89.99,4.1649e+10,0
evt_10,33,1,-1,1,2,19.7748,1.01781,2,-52.6198,-25.7951,2853,499,249.99,97.49,4.1649e+10,0
evt_10,56,2,-1,1,2,-20.0222,0.793977,4,-70.6975,-21.3525,5976,2430,872.49,347.49,4.1649e+10,0
evt_10,57,2,-1,1,2,-0.516809,0.639945,1,-71.458,-71.458,897,897,87.49,87.49,4.1649e+10,0
