feature,2088_count,2089_count,2088_rate_per_sampled_subrun,2089_rate_per_sampled_subrun,rate_difference_2089_minus_2088,rate_ratio_2089_over_2088,new_feature_in_2089
nPulses_median,74,180,0.3645320197044335,0.4878048780487805,0.12327285834434698,1.3381674357284112,False
<none; IF-only>,32,95,0.15763546798029557,0.25745257452574527,0.0998171065454497,1.6332147696476966,False
sideband_rms_mean,2,36,0.009852216748768473,0.0975609756097561,0.08770875886098763,9.902439024390244,False
nPulses_std,6,23,0.029556650246305417,0.06233062330623306,0.032773973059927644,2.108852755194219,False
pulseDuriation_min_std,3,14,0.014778325123152709,0.037940379403794036,0.023162054280641328,2.5672990063233967,False
pulseDuriation_max_std,3,12,0.014778325123152709,0.032520325203252036,0.017742000080099327,2.2005420054200546,False
pulseHeight_max_std,1,6,0.0049261083743842365,0.016260162601626018,0.01133405422724178,3.3008130081300817,False
pulseArea_min_mean,1,5,0.0049261083743842365,0.013550135501355014,0.008624027126970777,2.7506775067750677,False
sideband_mean_median,3,8,0.014778325123152709,0.02168021680216802,0.006901891679015313,1.4670280036133696,False
pulseArea_max_median,1,4,0.0049261083743842365,0.01084010840108401,0.005914000026699774,2.200542005420054,False
pulseHeight_max_median,2,5,0.009852216748768473,0.013550135501355014,0.0036979187525865414,1.3753387533875339,False
pulseDuriation_min_mean,1,3,0.0049261083743842365,0.008130081300813009,0.0032039729264287725,1.6504065040650409,False
sideband_mean_mean,3,6,0.014778325123152709,0.016260162601626018,0.0014818374784733093,1.1002710027100273,False
pulseHeight_min_median,7,12,0.034482758620689655,0.032520325203252036,-0.0019624334174376187,0.9430894308943091,False
pulseDuriation_max_mean,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
pulseArea_min_median,7,9,0.034482758620689655,0.024390243902439025,-0.01009251471825063,0.7073170731707318,False
