frequency_rank,channel,anomalous_subrun_count,anomalous_fraction,ALERT_subrun_anomalous_count,ALERT_subrun_presence_fraction,longest_consecutive_anomalous_streak,maximum_max_z,median_max_z_when_anomalous,median_if_score_when_anomalous
1,3,34,0.0921409214092141,6,0.11764705882352941,2,6.97,5.06,-0.6509499999999999
2,0,19,0.051490514905149054,6,0.11764705882352941,2,45.76,9.6,-0.5756
3,9,18,0.04878048780487805,5,0.09803921568627451,2,10.74,9.32,-0.55765
4,1,17,0.04607046070460705,2,0.0392156862745098,2,10.45,8.71,-0.6065
5,82,16,0.04336043360433604,4,0.0784313725490196,1,4.9,4.154999999999999,-0.6507499999999999
6,23,14,0.037940379403794036,3,0.058823529411764705,2,1000000.0,9.74,-0.5993999999999999
7,5,12,0.032520325203252036,7,0.13725490196078433,1,29.16,14.56,-0.5758
8,15,12,0.032520325203252036,10,0.19607843137254902,2,19.7,19.7,-0.57665
9,94,11,0.02981029810298103,2,0.0392156862745098,1,10.43,10.43,-0.5495
10,4,10,0.02710027100271003,1,0.0196078431372549,1,9.04,8.405000000000001,-0.5874999999999999
11,10,10,0.02710027100271003,6,0.11764705882352941,1,16.81,13.579999999999998,-0.5334
12,12,10,0.02710027100271003,7,0.13725490196078433,1,23.32,17.48,-0.59465
13,40,10,0.02710027100271003,3,0.058823529411764705,2,13.62,13.62,-0.5680499999999999
14,45,10,0.02710027100271003,5,0.09803921568627451,1,13.96,13.96,-0.54735
15,2,9,0.024390243902439025,0,0.0,1,11.43,10.21,-0.5494
16,13,9,0.024390243902439025,3,0.058823529411764705,1,22.03,8.87,-0.5777
17,14,9,0.024390243902439025,0,0.0,1,8.91,8.91,-0.5586
18,21,9,0.024390243902439025,0,0.0,1,11.54,11.54,-0.579
19,7,8,0.02168021680216802,3,0.058823529411764705,1,45.76,9.219999999999999,-0.62595
20,20,8,0.02168021680216802,1,0.0196078431372549,2,11.21,11.21,-0.5622
21,32,8,0.02168021680216802,3,0.058823529411764705,1,13.17,13.17,-0.59405
22,34,8,0.02168021680216802,4,0.0784313725490196,1,29.16,21.86,-0.54395
23,36,8,0.02168021680216802,2,0.0392156862745098,1,14.38,14.38,-0.54905
24,70,8,0.02168021680216802,0,0.0,1,11.84,11.84,-0.52025
25,6,7,0.018970189701897018,2,0.0392156862745098,1,8.31,6.35,-0.6498
26,22,7,0.018970189701897018,3,0.058823529411764705,1,23.8,8.92,-0.64
27,43,7,0.018970189701897018,1,0.0196078431372549,1,22.86,11.41,-0.5657
28,11,6,0.016260162601626018,0,0.0,1,11.12,10.17,-0.603
