channel,feature,count_2088,count_2089,normalized_rate_2088,normalized_rate_2089,rate_change_2089_minus_2088,rate_ratio_2089_over_2088,new_pair_in_2089
3,<none; IF-only>,10,34,0.04926108374384237,0.0921409214092141,0.04287983766537173,1.870460704607046,False
12,nPulses_median,0,6,0.0,0.016260162601626018,0.016260162601626018,,True
94,nPulses_median,3,11,0.014778325123152709,0.02981029810298103,0.01503197297982832,2.017163504968383,False
34,nPulses_median,1,7,0.0049261083743842365,0.018970189701897018,0.01404408132751278,3.850948509485095,False
82,<none; IF-only>,6,16,0.029556650246305417,0.04336043360433604,0.013803783358030626,1.4670280036133696,False
1,<none; IF-only>,0,5,0.0,0.013550135501355014,0.013550135501355014,,True
18,nPulses_median,0,5,0.0,0.013550135501355014,0.013550135501355014,,True
23,pulseDuriation_min_std,0,5,0.0,0.013550135501355014,0.013550135501355014,,True
15,nPulses_median,3,10,0.014778325123152709,0.02710027100271003,0.01232194587955732,1.8337850045167121,False
0,pulseDuriation_min_std,2,8,0.009852216748768473,0.02168021680216802,0.011828000053399549,2.200542005420054,False
6,<none; IF-only>,1,6,0.0049261083743842365,0.016260162601626018,0.01133405422724178,3.3008130081300817,False
36,nPulses_median,1,6,0.0049261083743842365,0.016260162601626018,0.01133405422724178,3.3008130081300817,False
0,nPulses_median,0,4,0.0,0.01084010840108401,0.01084010840108401,,True
9,pulseHeight_min_median,0,4,0.0,0.01084010840108401,0.01084010840108401,,True
13,nPulses_median,0,4,0.0,0.01084010840108401,0.01084010840108401,,True
23,nPulses_std,0,4,0.0,0.01084010840108401,0.01084010840108401,,True
23,pulseDuriation_max_std,0,4,0.0,0.01084010840108401,0.01084010840108401,,True
5,nPulses_median,3,9,0.014778325123152709,0.024390243902439025,0.009611918779286317,1.6504065040650409,False
0,pulseDuriation_max_std,2,7,0.009852216748768473,0.018970189701897018,0.009117972953128545,1.9254742547425474,False
0,sideband_rms_mean,0,3,0.0,0.008130081300813009,0.008130081300813009,,True
1,nPulses_std,0,3,0.0,0.008130081300813009,0.008130081300813009,,True
1,sideband_rms_mean,0,3,0.0,0.008130081300813009,0.008130081300813009,,True
4,sideband_rms_mean,0,3,0.0,0.008130081300813009,0.008130081300813009,,True
13,nPulses_std,0,3,0.0,0.008130081300813009,0.008130081300813009,,True
45,nPulses_median,4,10,0.019704433497536946,0.02710027100271003,0.007395837505173083,1.3753387533875339,False
40,nPulses_median,3,8,0.014778325123152709,0.02168021680216802,0.006901891679015313,1.4670280036133696,False
20,nPulses_median,2,6,0.009852216748768473,0.016260162601626018,0.006407945852857545,1.6504065040650409,False
21,nPulses_median,2,6,0.009852216748768473,0.016260162601626018,0.006407945852857545,1.6504065040650409,False
26,nPulses_median,2,6,0.009852216748768473,0.016260162601626018,0.006407945852857545,1.6504065040650409,False
32,nPulses_median,2,6,0.009852216748768473,0.016260162601626018,0.006407945852857545,1.6504065040650409,False
65,nPulses_median,2,6,0.009852216748768473,0.016260162601626018,0.006407945852857545,1.6504065040650409,False
8,<none; IF-only>,1,4,0.0049261083743842365,0.01084010840108401,0.005914000026699774,2.200542005420054,False
91,nPulses_median,1,4,0.0049261083743842365,0.01084010840108401,0.005914000026699774,2.200542005420054,False
2,nPulses_std,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
4,<none; IF-only>,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
12,sideband_rms_mean,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
13,<none; IF-only>,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
14,nPulses_std,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
17,<none; IF-only>,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
23,nPulses_median,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
23,sideband_rms_mean,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
27,nPulses_median,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
33,<none; IF-only>,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
36,sideband_rms_mean,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
90,nPulses_median,0,2,0.0,0.005420054200542005,0.005420054200542005,,True
9,nPulses_median,4,9,0.019704433497536946,0.024390243902439025,0.004685810404902079,1.2378048780487805,False
7,<none; IF-only>,1,3,0.0049261083743842365,0.008130081300813009,0.0032039729264287725,1.6504065040650409,False
7,sideband_mean_median,1,3,0.0049261083743842365,0.008130081300813009,0.0032039729264287725,1.6504065040650409,False
22,<none; IF-only>,1,3,0.0049261083743842365,0.008130081300813009,0.0032039729264287725,1.6504065040650409,False
0,pulseArea_min_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
0,pulseHeight_max_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
0,pulseHeight_max_std,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
0,sideband_mean_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
1,pulseArea_min_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
1,sideband_mean_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
4,nPulses_std,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
4,pulseDuriation_max_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
4,pulseDuriation_min_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
4,pulseHeight_max_std,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
4,sideband_mean_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
5,pulseArea_max_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
5,pulseArea_min_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
5,pulseHeight_max_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
5,pulseHeight_max_std,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
9,pulseHeight_max_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
9,sideband_mean_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
10,<none; IF-only>,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
10,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
11,<none; IF-only>,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
11,pulseArea_min_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
11,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
14,<none; IF-only>,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
15,nPulses_std,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
15,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
16,pulseArea_min_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
16,pulseArea_min_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
16,pulseHeight_min_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
17,pulseArea_min_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
17,sideband_mean_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
18,pulseArea_max_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
19,pulseArea_max_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
19,pulseArea_min_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
19,pulseHeight_min_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
20,pulseHeight_max_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
20,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
21,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
22,pulseArea_min_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
22,pulseDuriation_max_std,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
22,pulseDuriation_min_std,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
22,pulseHeight_min_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
22,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
23,pulseHeight_min_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
27,<none; IF-only>,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
27,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
31,nPulses_std,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
32,<none; IF-only>,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
34,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
35,nPulses_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
38,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
39,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
40,sideband_mean_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
40,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
41,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
43,<none; IF-only>,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
43,nPulses_std,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
43,pulseArea_max_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
43,pulseHeight_max_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
43,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
47,nPulses_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
55,nPulses_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
64,nPulses_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
66,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
67,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
74,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
77,pulseHeight_max_std,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
77,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
83,nPulses_median,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
86,<none; IF-only>,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
88,sideband_mean_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
88,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
