run,quartile,sequence_index_start,sequence_index_end,n_files,n_ALERT,ALERT_fraction,n_bulk,bulk_rate,n_extreme,extreme_rate,n_persistent,persistent_rate
2088,Q1,0,50,51,3,0.058823529411764705,0,0.0,3,0.058823529411764705,0,0.0
2088,Q2,51,101,51,3,0.058823529411764705,0,0.0,3,0.058823529411764705,0,0.0
2088,Q3,102,152,51,11,0.21568627450980393,0,0.0,11,0.21568627450980393,0,0.0
2088,Q4,153,202,50,6,0.12,1,0.02,6,0.12,0,0.0
2089,Q1,0,92,93,12,0.12903225806451613,1,0.010752688172043012,11,0.11827956989247312,0,0.0
2089,Q2,93,184,92,14,0.15217391304347827,0,0.0,14,0.15217391304347827,0,0.0
2089,Q3,185,276,92,11,0.11956521739130435,1,0.010869565217391304,10,0.10869565217391304,0,0.0
2089,Q4,277,368,92,14,0.15217391304347827,1,0.010869565217391304,14,0.15217391304347827,0,0.0
