triggered_feature,overall_occurrence_count,overall_rate_per_sampled_subrun,anomalous_file_count,anomalous_file_fraction,ALERT_occurrence_count,ALERT_occurrence_rate_per_sampled_subrun,ALERT_file_count,ALERT_file_presence_fraction,extreme_only_ALERT_occurrences,bulk_only_ALERT_occurrences,bulk_extreme_ALERT_occurrences,other_ALERT_mechanism_occurrences
nPulses_median,74,0.3645320197044335,61,0.30049261083743845,30,0.1477832512315271,23,1.0,26,0,4,0
<none; IF-only>,32,0.15763546798029557,30,0.1477832512315271,4,0.019704433497536946,4,0.17391304347826086,3,0,1,0
pulseArea_min_median,7,0.034482758620689655,7,0.034482758620689655,3,0.014778325123152709,3,0.13043478260869565,2,0,1,0
pulseHeight_min_median,7,0.034482758620689655,7,0.034482758620689655,3,0.014778325123152709,3,0.13043478260869565,2,0,1,0
nPulses_std,6,0.029556650246305417,6,0.029556650246305417,0,0.0,0,0.0,0,0,0,0
pulseDuriation_max_std,3,0.014778325123152709,3,0.014778325123152709,0,0.0,0,0.0,0,0,0,0
pulseDuriation_min_std,3,0.014778325123152709,3,0.014778325123152709,0,0.0,0,0.0,0,0,0,0
sideband_mean_mean,3,0.014778325123152709,2,0.009852216748768473,0,0.0,0,0.0,0,0,0,0
sideband_mean_median,3,0.014778325123152709,3,0.014778325123152709,0,0.0,0,0.0,0,0,0,0
pulseHeight_max_median,2,0.009852216748768473,2,0.009852216748768473,0,0.0,0,0.0,0,0,0,0
sideband_rms_mean,2,0.009852216748768473,1,0.0049261083743842365,2,0.009852216748768473,1,0.043478260869565216,2,0,0,0
pulseArea_max_median,1,0.0049261083743842365,1,0.0049261083743842365,0,0.0,0,0.0,0,0,0,0
pulseArea_min_mean,1,0.0049261083743842365,1,0.0049261083743842365,0,0.0,0,0.0,0,0,0,0
pulseDuriation_max_mean,1,0.0049261083743842365,1,0.0049261083743842365,0,0.0,0,0.0,0,0,0,0
pulseDuriation_min_mean,1,0.0049261083743842365,1,0.0049261083743842365,0,0.0,0,0.0,0,0,0,0
pulseHeight_max_std,1,0.0049261083743842365,1,0.0049261083743842365,0,0.0,0,0.0,0,0,0,0
