case,run,subrun,channel,filename,sequence_index_within_run,strict_status,logged_method,logged_triggered_features,logged_max_z,feature,observed_value,reference_mean,reference_raw_std,reference_std_used,std_floor_applied,z_score,abs_z,count,nan_count,inf_count,min,max,mean,std,median,q25,q75,q90,q95,q99,total_unique_events,target_channel_rows,target_channel_event_count,occupancy,fraction_nPulses_eq_0,fraction_nPulses_eq_1,fraction_nPulses_ge_2,value_counts_json,million_z_numerical_origin_confirmed
million_2088,2088,396,69,Digitizer_run2088_subrun396.csv,159,ALERT,statistical,nPulses_median,1000000.0,nPulses_median,2.0,1.0,0.0,1e-06,True,1000000.0,1000000.0,49,0,0,1.0,7.0,1.9387755102040816,1.2975644374703537,2.0,1.0,2.0,3.200000000000003,4.599999999999994,6.039999999999992,996,49,49,0.04919678714859438,0.0,0.4897959183673469,0.5102040816326531,"{""1"": 24, ""2"": 14, ""3"": 6, ""4"": 2, ""5"": 2, ""7"": 1}",True
million_2089,2089,270,23,Digitizer_run2089_subrun270.csv,116,ALERT,statistical,nPulses_median,1000000.0,nPulses_median,2.0,1.0,0.0,1e-06,True,1000000.0,1000000.0,26,0,0,1.0,4.0,1.6923076923076923,0.7883771061734742,2.0,1.0,2.0,2.5,3.0,3.75,995,26,26,0.02613065326633166,0.0,0.46153846153846156,0.5384615384615384,"{""1"": 12, ""2"": 11, ""3"": 2, ""4"": 1}",True
