selection_role,source_target_run,source_target_subrun,source_target_channel,comparison_role,run,subrun,filename,channel,sequence_index_within_run,strict_status,count,nan_count,inf_count,min,max,mean,std,median,q25,q75,q90,q95,q99,total_unique_events,target_channel_rows,target_channel_event_count,occupancy,top_1pct_count,top_1pct_fraction_of_positive_sum,mean_excluding_top_1pct
run2089_typical,2089,251,36,target,2089,251,Digitizer_run2089_subrun251.csv,36,109,ALERT,59,0,0,0.565437,419.547,18.29578052542373,70.48368567006902,0.893633,0.796817,0.9806855,1.122716,155.11919999999975,331.9530800000003,996,59,59,0.05923694779116466,1,0.3886669984816199,11.377656051724138
run2089_typical,2089,251,36,previous_OK,2089,246,Digitizer_run2089_subrun246.csv,36,106,OK,85,0,0,0.496769,10.0592,1.220713305882353,1.3569738185414197,0.895817,0.791798,0.99789,1.2136740000000004,3.8628979999999973,7.048555999999988,997,85,85,0.08525576730190572,1,0.09694621074538376,1.1154932261904764
run2089_typical,2089,251,36,next_OK,2089,253,Digitizer_run2089_subrun253.csv,36,110,OK,82,0,0,0.611965,43.7717,1.8306083292682926,5.323460339480674,0.895866,0.81433825,0.975825,1.1193950000000001,1.2586965000000003,22.87839799999994,995,82,82,0.08241206030150754,1,0.2915977224497604,1.3128170740740739
run2089_large_z,2089,852,0,target,2089,852,Digitizer_run2089_subrun852.csv,0,337,OK,19,0,0,0.654275,367.519,35.460106947368416,101.02980887079924,0.902112,0.8003605,0.9722625,72.71255999999984,278.1912999999998,349.65346000000005,996,19,19,0.019076305220883535,1,0.5454891969690856,17.012390666666665
run2089_large_z,2089,852,0,previous_OK,2089,850,Digitizer_run2089_subrun850.csv,0,335,OK,26,0,0,0.569147,4.35756,1.046589423076923,0.7226616536310848,0.909211,0.7960015,0.99389225,1.21806,1.67654,3.7244625000000005,996,26,26,0.02610441767068273,1,0.1601377367695252,0.9141505999999999
run2089_large_z,2089,852,0,next_OK,2089,855,Digitizer_run2089_subrun855.csv,0,338,OK,20,0,0,0.623103,2.79158,0.92436025,0.46873102677322487,0.770249,0.737294,0.8990257500000001,1.160348,1.2764345000000012,2.488550899999998,992,20,20,0.020161290322580645,1,0.15100065153169448,0.8260855263157896
run2088_comparable,2088,333,33,target,2088,333,Digitizer_run2088_subrun333.csv,33,134,ALERT,51,0,0,0.541896,451.675,23.303028745098036,89.93684902076728,0.894081,0.754052,1.14453,4.76298,129.1479,436.9285,999,51,51,0.05105105105105105,1,0.380052423480901,14.735589319999999
run2088_comparable,2088,333,33,previous_OK,2088,332,Digitizer_run2088_subrun332.csv,33,133,OK,76,0,0,0.535166,34.0644,1.567592697368421,4.029644881610431,0.873561,0.795793,0.97101225,1.11221,2.9034125,17.703225,1000,76,76,0.076,1,0.28592617854505287,1.1343019333333333
run2088_comparable,2088,333,33,next_OK,2088,339,Digitizer_run2088_subrun339.csv,33,136,OK,80,0,0,0.567486,139.614,5.6197952625,19.519448845664613,0.9026125,0.771306,1.0585499999999999,3.6700400000000526,22.67971499999994,93.04302599999963,994,80,80,0.08048289738430583,1,0.31054067247703404,3.9236660886075945
