run,subrun,filename,strict_status,channel,is_target_channel,nPulses_mean,nPulses_std,nPulses_median,occupancy,frac_dead,reference_nPulses_median_mean,reference_nPulses_median_raw_std,reference_nPulses_median_std_used,z_nPulses_median,abs_z_over_8,abs_z_over_15
2088,396,Digitizer_run2088_subrun396.csv,ALERT,0,False,1.2857142857142858,0.5606119105813882,1.0,0.02108433734939759,0.0,1.0006609870740304,0.021839016680118065,0.021839016680118065,-0.030266338622844134,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,1,False,1.2380952380952381,0.6248809410409238,1.0,0.02108433734939759,0.0,1.0176263219741484,0.12588397270224438,0.12588397270224438,-0.14002038222800792,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,2,False,1.3863636363636365,0.7222673952732752,1.0,0.04417670682730924,0.0,1.0102070788662025,0.09698086562649692,0.09698086562649692,-0.10524837863907224,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,3,False,2.4477611940298507,2.098221339752432,2.0,0.06726907630522089,0.0,1.0831252753708318,0.27069941832777283,0.27069941832777283,3.3870583479384595,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,4,False,1.4444444444444444,0.7510676161988108,1.0,0.02710843373493976,0.0,1.0,0.0,1e-06,0.0,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,5,False,1.6153846153846154,0.9413574486632834,1.0,0.02610441767068273,0.0,1.0013219741480621,0.034254058386733184,0.034254058386733184,-0.03859321231770104,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,6,False,1.5675675675675675,0.7280316133452103,1.0,0.03714859437751004,0.0,1.0257747099427235,0.15340007006459264,0.15340007006459264,-0.16802280423907515,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,7,False,1.3571428571428572,0.6446583712203042,1.0,0.05622489959839357,0.0,1.0005140255544118,0.021841364909573904,0.021841364909573904,-0.023534497799929447,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,8,False,1.675,1.1851106190930785,1.0,0.040160642570281124,0.0,1.166201527614567,0.3627185858866455,0.3627185858866455,-0.4582106737329065,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,9,False,1.4242424242424243,0.7084447327730932,1.0,0.03313253012048193,0.0,1.0126321974148078,0.10594382409297862,0.10594382409297862,-0.1192348635982926,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,10,False,1.55,0.8755950357709132,1.0,0.040160642570281124,0.0,1.003525264394829,0.05926919018998115,0.05926919018998115,-0.059478868928849134,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,11,False,1.5555555555555556,0.8133979109981545,1.0,0.045180722891566265,0.0,1.010355464159813,0.0973502795860281,0.0973502795860281,-0.10637323491877426,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,12,False,1.2647058823529411,0.511019392943506,1.0,0.03413654618473896,0.0,1.0019092377735357,0.04280374239012398,0.04280374239012398,-0.04460445902450349,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,13,False,1.5,0.7071067811865476,1.0,0.03413654618473896,0.0,1.0022032902467664,0.04529403649936461,0.04529403649936461,-0.048644157532686715,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,14,False,1.6363636363636365,1.0802865487842306,1.0,0.04417670682730924,0.0,1.0033049353701542,0.05577100726890122,0.05577100726890122,-0.05925902242036567,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,15,False,1.3076923076923077,0.6941047302231982,1.0,0.0391566265060241,0.0,1.0027908343125727,0.05062328053115834,0.05062328053115834,-0.055129463821589196,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,16,False,1.7567567567567568,1.0904995136125413,1.0,0.03714859437751004,0.0,1.1844888366627526,0.3772274272856251,0.3772274272856251,-0.48906527818048423,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,17,False,1.7575757575757576,1.1188806636071336,1.0,0.03313253012048193,0.0,1.1612808460634536,0.35653493635752975,0.35653493635752975,-0.45235636011199404,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,18,False,1.4444444444444444,0.6979824404521128,1.0,0.02710843373493976,0.0,1.0098428088732194,0.09376048537847204,0.09376048537847204,-0.1049782201264008,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,19,False,1.3214285714285714,0.5479640045336466,1.0,0.028112449799196786,0.0,1.0393712354928786,0.18755480424780255,0.18755480424780255,-0.20991856567353093,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,20,False,1.6451612903225807,1.1120068074364229,1.0,0.03112449799196787,0.0,1.0087397179788484,0.08842364341002924,0.08842364341002924,-0.09883915253662964,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,21,False,1.5,0.762000762001143,1.0,0.0321285140562249,0.0,1.0082990599294928,0.0859394608965333,0.0859394608965333,-0.09656867570398656,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,22,False,1.1612903225806452,0.4543694673976518,1.0,0.03112449799196787,0.0,1.0004405933323521,0.020985690597874602,0.020985690597874602,-0.020994940828716762,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,23,False,1.3703703703703705,0.6292943635623919,1.0,0.02710843373493976,0.0,1.0,0.0,1e-06,0.0,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,24,False,1.8439024390243903,1.1819825445129204,2.0,0.20582329317269077,0.0,1.1186104582843688,0.31649985541942677,0.31649985541942677,2.7848023517976355,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,25,False,1.395973154362416,0.7136834026911969,1.0,0.2991967871485944,0.0,1.0,0.0,1e-06,0.0,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,26,False,1.5272727272727273,0.6899958522297622,1.0,0.055220883534136546,0.0,1.0040387722132456,0.06195869573440901,0.06195869573440901,-0.065184913358378,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,27,False,1.5535714285714286,0.7843849439272406,1.0,0.05622489959839357,0.0,1.0003671611102933,0.018174437872593627,0.018174437872593627,-0.02020206142644995,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,28,False,1.8780487804878048,1.0702514288931724,2.0,0.0823293172690763,0.0,1.0350271699221638,0.17765298904495008,0.17765298904495008,5.431784937959456,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,29,False,1.6081081081081081,0.8571626908373317,1.0,0.07429718875502007,0.0,1.0015420766632432,0.03876831891860933,0.03876831891860933,-0.039776722495517426,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,30,False,1.5492957746478873,0.8583827383826635,1.0,0.071285140562249,0.0,1.0055808488764861,0.07400182957363814,0.07400182957363814,-0.07541501215091867,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,31,False,1.5396825396825398,0.8196261308472539,1.0,0.06325301204819277,0.0,1.0002937288882345,0.01713600337232615,0.01713600337232615,-0.017141038190322318,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,32,False,1.5333333333333334,0.8420753583206846,1.0,0.045180722891566265,0.0,1.0061692126909563,0.07543537271315039,0.07543537271315039,-0.08178143050230882,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,33,False,1.530612244897959,0.7101068234288922,1.0,0.04919678714859438,0.0,1.0188014101057628,0.13226170260835177,0.13226170260835177,-0.1421530929587135,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,34,False,1.639344262295082,1.2914176562373343,1.0,0.06124497991967871,0.0,1.0013219741480586,0.034254058386733205,0.034254058386733205,-0.0385932123175973,False,False
2088,396,Digitizer_run2088_subrun396.csv,ALERT,35,False,1.4848484848484849,0.8456663143057757,1.0,0.06626506024096386,0.0,1.0000734430082254,0.0060593820012730054,0.0060593820012730054,-0.012120544340990086,False,False
