event_id,channel,layer,supermodule,row,column,sideband_mean,sideband_rms,nPulses,pulseHeight_max,pulseHeight_min,pulseArea_max,pulseArea_min,pulseDuriation_max,pulseDuriation_min,TDC,TDCRollovers
evt_0,25,1,-1,1,1,9.47843,0.904647,1,-51.0073,-51.0073,1846,1846,169.99,169.99,4.17454e+10,0
evt_0,48,2,-1,1,1,18.5139,0.802042,3,-850.035,-15.5919,36175,104,294.99,59.99,4.17454e+10,0
evt_0,49,2,-1,1,1,-0.864947,2.94915,2,-53.0412,-16.408,1701,275,157.49,59.99,4.17454e+10,0
evt_0,53,2,-1,3,1,1.04897,0.857968,1,-65.2321,-65.2321,2682,2682,207.49,207.49,4.17454e+10,0
evt_0,72,3,-1,1,1,-12.3417,0.688259,1,-30.5,-30.5,19834,19834,2439.99,2439.99,4.17454e+10,0
evt_1,66,2,-1,2,3,3.34872,0.835645,2,-1101.9,-25.4763,52194,580,357.49,107.49,4.18218e+10,0
evt_1,67,2,-1,2,3,2.62882,0.786486,2,-1250.12,-38.9657,66086,1195,377.49,144.99,4.18218e+10,0
evt_2,8,0,-1,1,2,-29.5313,0.843475,1,-31.95,-31.95,29417,29417,2507.49,2507.49,4.18793e+10,0
evt_2,9,0,-1,1,2,-14.2336,0.766756,4,-18.0326,-15.7464,9146,291,1517.49,54.99,4.18793e+10,0
evt_2,32,1,-1,1,2,-31.5748,0.826338,1,-37.4802,-37.4802,32185,32185,2507.49,2507.49,4.18793e+10,0
evt_2,33,1,-1,1,2,-23.952,0.886433,1,-26.2962,-26.2962,22393,22393,2507.49,2507.49,4.18793e+10,0
evt_2,48,2,-1,1,1,0.77379,0.878793,1,-265.814,-265.814,12901,12901,314.99,314.99,4.18793e+10,0
evt_2,49,2,-1,1,1,-0.725364,0.574336,1,-153.187,-153.187,8456,8456,292.49,292.49,4.18793e+10,0
evt_2,64,2,-1,1,3,-15.114,0.832018,5,-37.9339,-16.2032,4754,748,622.49,132.49,4.18793e+10,0
evt_2,65,2,-1,1,3,-25.4109,0.814497,1,-27.6413,-27.6413,23303,23303,2507.49,2507.49,4.18793e+10,0
evt_2,70,2,-1,4,3,0.933389,1.07448,1,-1250.04,-1250.04,73214,73214,717.49,717.49,4.18793e+10,0
evt_2,71,2,-1,4,3,-1.16015,0.805753,2,-1250.08,-83.6844,90075,2309,427.49,154.99,4.18793e+10,0
evt_2,84,3,-1,3,2,1.28231,0.872859,2,-860.986,-44.0743,44887,1443,429.99,154.99,4.18793e+10,0
evt_2,85,3,-1,3,2,3.52963,0.768992,3,-450.261,-24.9528,18288,536,287.49,77.49,4.18793e+10,0
evt_2,86,3,-1,4,2,3.88972,1.0206,1,-28.2157,-28.2157,733,733,112.49,112.49,4.18793e+10,0
evt_2,88,3,-1,1,3,-11.4298,0.806697,4,-18.2615,-16.165,2459,282,414.99,44.99,1.49602e+14,1.10382e+12
evt_2,89,3,-1,1,3,-19.9707,0.703692,1,-22.916,-22.916,20315,20315,2507.49,2507.49,1.49602e+14,1.3779e+19
evt_3,2,0,-1,2,1,1.66989,0.677293,4,-66.1819,-28.5179,2363,850,179.99,122.49,4.20006e+10,0
evt_3,36,1,-1,3,2,0.112818,0.948017,3,-1096.05,-18.1478,57857,312,362.49,74.99,4.20006e+10,0
evt_3,37,1,-1,3,2,-0.965678,0.992251,3,-1250.65,-30.768,74162,712,372.49,114.99,4.20006e+10,0
evt_3,58,2,-1,2,2,1.43441,0.661628,1,-323.192,-323.192,20053,20053,384.99,384.99,4.20006e+10,0
evt_3,59,2,-1,2,2,1.25604,0.726608,2,-447.694,-44.9103,23001,1642,332.49,167.49,4.20006e+10,0
evt_3,67,2,-1,2,3,2.5658,0.740437,1,-34.9229,-34.9229,1295,1295,154.99,154.99,4.20006e+10,0
evt_3,72,3,-1,1,1,11.7814,1.24512,1,-1218.94,-1218.94,70341,70341,389.99,389.99,4.20006e+10,0
evt_3,73,3,-1,1,1,3.05155,0.685898,2,-917.945,-32.5966,44688,890,389.99,127.49,4.20006e+10,0
evt_3,74,3,-1,2,1,-128.422,35.1613,1,-77.4243,-77.4243,1688,1688,142.49,142.49,4.20006e+10,0
evt_3,75,3,-1,2,1,-81.917,15.5454,1,-57.529,-57.529,941,941,112.49,112.49,4.20006e+10,0
evt_4,8,0,-1,1,2,35.7902,0.678858,1,-44.2627,-44.2627,1005,1005,129.99,129.99,4.20468e+10,0
evt_4,27,1,-1,2,1,1.34098,0.909739,1,-53.2988,-53.2988,2136,2136,184.99,184.99,4.20468e+10,0
evt_4,34,1,-1,2,2,-1.80431,0.914273,1,-49.3327,-49.3327,1805,1805,172.49,172.49,4.20468e+10,0
evt_4,35,1,-1,2,2,-2.57981,1.43636,3,-67.4813,-37.403,3588,1751,262.49,202.49,4.20468e+10,0
evt_4,37,1,-1,3,2,1.92846,0.938041,1,-18.949,-18.949,575,575,102.49,102.49,4.20468e+10,0
evt_4,59,2,-1,2,2,3.27655,1.0619,1,-51.3168,-51.3168,2035,2035,182.49,182.49,4.20468e+10,0
evt_4,62,2,-1,4,2,-2.63219,1.24297,1,-25.2975,-25.2975,345,345,89.99,89.99,4.20468e+10,0
evt_4,63,2,-1,4,2,-1.32364,0.589392,1,-21.2753,-21.2753,269,269,79.99,79.99,4.20468e+10,0
evt_4,93,3,-1,3,3,-8.62992,1.15646,3,-19.3297,-17.3094,1110,626,177.49,109.99,0,4.52816e+18
evt_5,11,0,-1,2,2,19.8668,0.851863,1,-185.516,-185.516,7127,7127,224.99,224.99,4.20648e+10,0
evt_5,24,1,-1,1,1,1.97891,0.897151,3,-1249.55,-46.2843,103439,1034,414.99,132.49,4.20648e+10,0
evt_5,25,1,-1,1,1,0.342851,0.798947,1,-1250.27,-1250.27,114588,114588,414.99,414.99,4.20648e+10,0
evt_5,30,1,-1,4,1,-2.12592,0.898405,1,-20.667,-20.667,623,623,107.49,107.49,4.20648e+10,0
evt_5,34,1,-1,2,2,2.49328,0.809674,1,-32.7824,-32.7824,1227,1227,162.49,162.49,4.20648e+10,0
evt_5,56,2,-1,1,2,-17.7298,0.893003,4,-23.3731,-19.5977,7150,1537,927.49,242.49,4.20648e+10,0
evt_5,92,3,-1,3,3,69.1025,3.16837,1,-142.36,-142.36,4361,4361,177.49,177.49,0,4.62992e+18
evt_5,93,3,-1,3,3,13.0329,0.69763,1,-29.623,-29.623,947,947,139.99,139.99,0,4.65118e+18
evt_6,20,0,-1,3,3,1.61418,0.817695,1,-575.902,-575.902,27969,27969,337.49,337.49,4.20831e+10,0
evt_6,21,0,-1,3,3,-0.354098,0.729103,3,-597.304,-30.1186,29665,1014,347.49,137.49,4.20831e+10,0
evt_6,44,1,-1,3,3,-0.751844,1.08084,1,-38.1252,-38.1252,1396,1396,159.99,159.99,4.20831e+10,0
evt_6,55,2,-1,4,1,-1.03063,0.69489,1,-69.6982,-69.6982,2785,2785,204.99,204.99,4.20831e+10,0
evt_6,56,2,-1,1,2,1.79748,0.897145,1,-30.8313,-30.8313,222,222,64.99,64.99,4.20831e+10,0
evt_6,57,2,-1,1,2,0.744665,0.894001,1,-56.4202,-56.4202,255,255,64.99,64.99,4.20831e+10,0
evt_6,62,2,-1,4,2,4.04945,0.838218,1,-42.2996,-42.2996,232,232,67.49,67.49,4.20831e+10,0
evt_6,63,2,-1,4,2,1.1419,0.739079,1,-32.255,-32.255,138,138,62.49,62.49,4.20831e+10,0
evt_6,68,2,-1,3,3,-3.01332,0.748866,1,-386.293,-386.293,18990,18990,319.99,319.99,4.20831e+10,0
evt_6,69,2,-1,3,3,3.85902,1.08188,1,-146.667,-146.667,7410,7410,262.49,262.49,4.20831e+10,0
evt_7,14,0,-1,4,2,0.448311,1.05586,3,-803.421,-29.7275,50165,877,429.99,92.49,4.21403e+10,0
evt_7,15,0,-1,4,2,0.862047,0.866822,1,-635.704,-635.704,38750,38750,417.49,417.49,4.21403e+10,0
evt_7,36,1,-1,3,2,1.8334,0.981682,2,-1236.89,-60.8855,85382,1864,417.49,192.49,4.21403e+10,0
evt_7,37,1,-1,3,2,-0.744058,0.953435,1,-1250.5,-1250.5,116049,116049,519.99,519.99,4.21403e+10,0
evt_7,58,2,-1,2,2,0.28339,0.853326,1,-32.1589,-32.1589,360,360,79.99,79.99,4.21403e+10,0
evt_7,60,2,-1,3,2,1.80024,0.919659,2,-67.4431,-45.1762,3320,1545,244.99,159.99,4.21403e+10,0
evt_7,61,2,-1,3,2,-1.12271,0.811492,1,-52.9914,-52.9914,2052,2052,184.99,184.99,4.21403e+10,0
evt_7,82,3,-1,2,2,-0.610619,1.7327,2,-1250.24,-31.8751,103016,638,399.99,107.49,4.21403e+10,0
evt_7,83,3,-1,2,2,0.85586,0.627736,1,-1250.16,-1250.16,84042,84042,414.99,414.99,4.21403e+10,0
evt_7,84,3,-1,3,2,2.0547,0.788165,1,-93.5878,-93.5878,5046,5046,254.99,254.99,4.21403e+10,0
evt_7,85,3,-1,3,2,3.04111,0.973021,2,-53.6952,-15.4187,1730,272,162.49,69.99,4.21403e+10,0
evt_7,90,3,-1,2,3,-1.22392,1.35058,1,-82.9982,-82.9982,2827,2827,122.49,122.49,1.49602e+14,1.38742e+19
evt_7,91,3,-1,2,3,-1.23803,0.861348,1,-71.9425,-71.9425,2672,2672,144.99,144.99,0,1.38711e+19
evt_8,2,0,-1,2,1,5.18195,0.933706,1,-41.2515,-41.2515,1289,1289,147.49,147.49,4.2143e+10,0
evt_8,10,0,-1,2,2,12.2079,1.75396,2,-89.6281,-68.2818,3189,2380,197.49,177.49,4.2143e+10,0
evt_8,33,1,-1,1,2,0.917096,1.05283,1,-159.933,-159.933,6266,6266,249.99,249.99,4.2143e+10,0
evt_8,36,1,-1,3,2,3.5459,0.758464,1,-59.3987,-59.3987,1890,1890,164.99,164.99,4.2143e+10,0
evt_8,37,1,-1,3,2,-3.89029,2.9663,2,-35.3065,-27.7957,1273,1004,149.99,142.49,4.2143e+10,0
evt_8,40,1,-1,1,3,3.83758,0.688117,1,-819.554,-819.554,35926,35926,267.49,267.49,4.2143e+10,0
evt_8,41,1,-1,1,3,-1.31878,0.730431,1,-489.419,-489.419,29305,29305,272.49,272.49,4.2143e+10,0
