event_id,channel,layer,supermodule,row,column,sideband_mean,sideband_rms,nPulses,pulseHeight_max,pulseHeight_min,pulseArea_max,pulseArea_min,pulseDuriation_max,pulseDuriation_min,TDC,TDCRollovers
evt_280,1,0,-1,1,1,-1.24141,0.619087,4,-1250.8,-21.1621,214430,996,719.99,64.99,8.89214e+09,0
evt_280,24,1,-1,1,1,-1.47394,0.842477,3,-1249.85,-36.7157,421119,1773,1399.99,74.99,8.89214e+09,0
evt_280,25,1,-1,1,1,0.965932,1.03989,2,-1250.73,-1038.52,333491,33754,939.99,217.49,8.89214e+09,0
evt_280,42,1,-1,2,3,5.57125,1.24935,1,-538.512,-538.512,27924,27924,334.99,334.99,8.89214e+09,0
evt_280,43,1,-1,2,3,-0.164232,0.96569,2,-432.833,-35.9547,21106,924,324.99,122.49,8.89214e+09,0
evt_280,48,2,-1,1,1,1.08235,0.662438,1,-1250.76,-1250.76,311058,311058,867.49,867.49,8.89214e+09,0
evt_280,49,2,-1,1,1,-0.745502,0.72189,3,-1159.53,-174.308,232290,5041,1009.99,254.99,8.89214e+09,0
evt_280,56,2,-1,1,2,-8.25211,1.00488,2,-16.3265,-16.2029,573,290,107.49,57.49,8.89214e+09,0
evt_280,60,2,-1,3,2,-1.56399,0.55422,1,-45.0253,-45.0253,501,501,82.49,82.49,8.89214e+09,0
evt_280,61,2,-1,3,2,-0.179977,0.62448,1,-41.2438,-41.2438,394,394,77.49,77.49,8.89214e+09,0
evt_280,72,3,-1,1,1,1.87774,1.55952,5,-1250.73,-24.7449,107749,662,547.49,109.99,8.89214e+09,0
evt_280,73,3,-1,1,1,-2.99024,1.27517,2,-1249.78,-29.9662,106870,594,427.49,99.99,8.89214e+09,0
evt_280,76,3,-1,3,1,-8.32022,1.15263,1,-16.5842,-16.5842,505,505,89.99,89.99,8.89214e+09,0
evt_280,92,3,-1,3,3,-2.45237,0.950073,1,-21.1226,-21.1226,566,566,99.99,99.99,0,1.37515e+19
evt_280,93,3,-1,3,3,-6.11076,0.808438,2,-25.8853,-21.3543,2191,1816,284.99,267.49,0,4.59043e+18
evt_281,24,1,-1,1,1,1.53392,0.825773,1,-50.8587,-50.8587,1829,1829,177.49,177.49,8.91199e+09,0
evt_281,52,2,-1,3,1,2.02858,0.937813,1,-25.2608,-25.2608,301,301,84.99,84.99,8.91199e+09,0
evt_281,53,2,-1,3,1,-0.667334,0.541977,1,-30.4682,-30.4682,384,384,84.99,84.99,8.91199e+09,0
evt_281,55,2,-1,4,1,-3.02805,0.911881,1,-16.395,-16.395,184,184,64.99,64.99,8.91199e+09,0
evt_281,72,3,-1,1,1,7.11027,1.22657,1,-212.658,-212.658,12959,12959,462.49,462.49,8.91199e+09,0
evt_281,73,3,-1,1,1,0.464805,0.921342,1,-232.904,-232.904,11350,11350,297.49,297.49,8.91199e+09,0
evt_282,15,0,-1,4,2,-14.8873,6.90604,2,-266.105,-18.4412,10289,279,234.99,72.49,8.91622e+09,0
evt_282,20,0,-1,3,3,0.917604,0.659748,1,-919.696,-919.696,47178,47178,394.99,394.99,8.91622e+09,0
evt_282,21,0,-1,3,3,1.33112,0.909201,2,-1094.49,-16.3946,54460,193,374.99,57.49,8.91622e+09,0
evt_282,35,1,-1,2,2,-0.910975,1.35314,1,-63.9734,-63.9734,2579,2579,197.49,197.49,8.91622e+09,0
evt_282,56,2,-1,1,2,-14.4809,0.73861,3,-24.8578,-15.669,14777,465,2019.99,82.49,8.91622e+09,0
evt_282,64,2,-1,1,3,13.9656,0.691394,2,-60.3145,-23.4853,1819,588,157.49,102.49,8.91622e+09,0
evt_282,65,2,-1,1,3,-6.15909,7.13395,3,-76.1329,-25.8488,3426,546,237.49,99.99,8.91622e+09,0
evt_282,67,2,-1,2,3,-3.22297,0.679081,1,-37.1703,-37.1703,1658,1658,184.99,184.99,8.91622e+09,0
evt_282,71,2,-1,4,3,-24.8127,1.04739,1,-30.4627,-30.4627,23580,23580,2507.49,2507.49,8.91622e+09,0
