event_id,channel,layer,supermodule,row,column,sideband_mean,sideband_rms,nPulses,pulseHeight_max,pulseHeight_min,pulseArea_max,pulseArea_min,pulseDuriation_max,pulseDuriation_min,TDC,TDCRollovers
evt_0,18,0,-1,2,3,6.28247,1.34027,1,-53.6471,-53.6471,1845,1845,169.99,169.99,7.19486e+06,0
evt_0,32,1,-1,1,2,-0.741113,0.881997,1,-55.7806,-55.7806,1668,1668,157.49,157.49,7.19487e+06,0
evt_0,44,1,-1,3,3,63.1218,1.01377,1,-272.324,-272.324,7303,7303,184.99,184.99,7.19486e+06,0
evt_0,68,2,-1,3,3,0.938092,1.01668,1,-149.016,-149.016,5436,5436,229.99,229.99,7.19487e+06,0
evt_0,69,2,-1,3,3,1.37047,0.79661,1,-63.5992,-63.5992,2600,2600,197.49,197.49,7.19487e+06,0
evt_0,71,2,-1,4,3,2.57136,1.03139,1,-26.4957,-26.4957,956,956,134.99,134.99,7.19487e+06,0
evt_0,93,3,-1,3,3,-7.67417,0.814009,1,-51.0898,-51.0898,2062,2062,187.49,187.49,0,4.56959e+18
evt_1,6,0,-1,4,1,-0.165656,0.843324,1,-414.729,-414.729,24809,24809,384.99,384.99,2.19052e+07,0
evt_1,7,0,-1,4,1,-4.29773,2.35043,1,-245.905,-245.905,14232,14232,359.99,359.99,2.19052e+07,0
evt_1,14,0,-1,4,2,1.00177,1.15247,1,-60.5091,-60.5091,2504,2504,199.99,199.99,2.19052e+07,0
evt_1,15,0,-1,4,2,0.649534,0.768198,1,-39.1926,-39.1926,1565,1565,174.99,174.99,2.19052e+07,0
evt_1,26,1,-1,2,1,-3.13511,1.08456,2,-1251.26,-127.452,173691,2796,907.49,72.49,2.19052e+07,0
evt_1,27,1,-1,2,1,0.0212527,0.797584,1,-1249.92,-1249.92,104821,104821,527.49,527.49,2.19052e+07,0
evt_1,32,1,-1,1,2,-29.3655,3.31,1,-26.0408,-26.0408,516,516,87.49,87.49,2.19052e+07,0
