run,classification,n_good_subruns,n_bad_subruns,last_good_subrun,first_bad_subrun,persistent_channels
1606,good,4,0,415,,
1607,good,3,0,324,,
1608,partial,2,1,39,154.0,
1609,good,4,0,421,,
1610,good,2,0,209,,
1611,good,4,0,183,,
