method,n_anomalous_rows,fraction_of_all_anomalous_rows,OK,WARN,ALERT,fraction_within_OK_anomalous_rows,fraction_within_WARN_anomalous_rows,fraction_within_ALERT_anomalous_rows
isolation_forest,441,0.5554156171284634,202,133,106,0.5976331360946746,0.6751269035532995,0.4092664092664093
statistical,294,0.3702770780856423,115,57,122,0.34023668639053256,0.2893401015228426,0.47104247104247104
statistical+IF,59,0.0743073047858942,21,7,31,0.0621301775147929,0.03553299492385787,0.11969111969111969
