channel,source_metric,comparison_filename,comparison_subrun,comparison_status,comparison_role,processed_sequence_offset_from_role_target,file_unique_events,target_channel_rows,target_channel_unique_events,occupancy,n_values,n_nan,n_inf,min,max,mean,std,median,q25,q75
3,sideband_rms,Digitizer_run2014_subrun94.csv,94,OK,OK_target,0,993,69,69,0.06948640483383686,69,0,0,0.557215,181.869,5.311018710144929,24.986403610405564,0.883617,0.761031,1.06592
3,sideband_rms,Digitizer_run2014_subrun88.csv,88,OK,OK_target_previous_2,-2,991,85,85,0.08577194752774975,85,0,0,0.583371,306.361,6.03740965882353,33.65297082528133,0.891837,0.789657,1.01434
3,sideband_rms,Digitizer_run2014_subrun90.csv,90,OK,OK_target_previous_1,-1,994,68,68,0.06841046277665996,68,0,0,0.649899,71.8698,4.4574115441176465,11.648728564113828,0.8825054999999999,0.75495925,0.9731230000000001
3,sideband_rms,Digitizer_run2014_subrun95.csv,95,OK,OK_target_next_1,1,996,68,68,0.06827309236947791,68,0,0,0.623149,85.0017,2.9944928676470575,10.667878608879256,0.912935,0.806291,1.0492225
3,sideband_rms,Digitizer_run2014_subrun96.csv,96,OK,OK_target_next_2,2,988,81,81,0.08198380566801619,81,0,0,0.449421,108.321,2.3462308271604937,12.018220408179628,0.853388,0.747327,0.949316
3,pulseHeight_max,Digitizer_run2014_subrun605.csv,605,WARN,WARN_target,0,994,72,72,0.07243460764587525,72,0,0,-824.612,-15.516,-160.19950416666666,240.2639838301756,-23.141199999999998,-178.44925,-19.930875
3,pulseHeight_max,Digitizer_run2014_subrun603.csv,603,WARN,WARN_target_previous_2,-2,998,55,55,0.05511022044088176,55,0,0,-795.307,-15.4438,-161.13906727272723,246.51535406294755,-21.6594,-174.45999999999998,-18.9987
3,pulseHeight_max,Digitizer_run2014_subrun604.csv,604,WARN,WARN_target_previous_1,-1,998,60,60,0.06012024048096192,60,0,0,-1014.27,-15.1733,-160.3802666666667,266.9160379753247,-22.7534,-143.50025,-18.0351
3,pulseHeight_max,Digitizer_run2014_subrun609.csv,609,WARN,WARN_target_next_1,1,998,67,67,0.06713426853707415,67,0,0,-1105.24,-15.0675,-197.15617910447764,307.6375797872996,-24.6891,-218.38,-18.85105
3,pulseHeight_max,Digitizer_run2014_subrun611.csv,611,WARN,WARN_target_next_2,2,1000,63,63,0.063,63,0,0,-940.01,-15.1334,-121.44944444444447,222.00598081880867,-23.4908,-67.42555,-18.87945
3,pulseHeight_max,Digitizer_run2014_subrun94.csv,94,OK,OK_target,0,993,69,69,0.06948640483383686,69,0,0,-1147.07,-15.1394,-313.92877536231885,338.73507174947616,-149.983,-592.647,-38.4644
