channel,feature,subrun605_value,subrun94_value,reference_mean,reference_std_pre_floor,reference_std_used,subrun605_z,subrun94_z,value_delta_605_minus_94,z_movement_605_minus_94,abs_z_movement,max_abs_z_across_pair,subrun605_over_z8,subrun94_over_z8,subrun605_method,subrun94_method,subrun605_if_score,subrun94_if_score,difference_rank_within_channel
3,pulseDuriation_min_mean,707.6636111111111,254.19289855072466,276.86487608491274,65.23724007449842,65.23724007449842,6.603570821424125,-0.34753121849265156,453.47071256038646,6.951102039916776,6.951102039916776,6.603570821424125,False,False,,,-0.6071,-0.4315,1
3,pulseDuriation_max_mean,865.0247222222222,347.41753623188407,417.48858875507784,87.99972001101959,87.99972001101959,5.085654061298178,-0.7962644939599725,517.6071859903382,5.88191855525815,5.88191855525815,5.085654061298178,False,False,,,-0.6071,-0.4315,2
3,sideband_rms_median,5.04982,0.883617,1.258135191804964,0.8249668348763384,0.8249668348763384,4.596166352267247,-0.4539796946638513,4.166203,5.050146046931098,5.050146046931098,4.596166352267247,False,False,,,-0.6071,-0.4315,3
3,pulseDuriation_max_std,913.626161436883,338.12006520659367,328.6241365486686,129.43731758527778,129.43731758527778,4.519577783298814,0.07336314468714791,575.5060962302894,4.446214638611666,4.446214638611666,4.519577783298814,False,False,,,-0.6071,-0.4315,4
3,pulseDuriation_min_std,936.2278529685494,336.5054771737682,295.5093833387532,137.71196695866732,137.71196695866732,4.652598345517065,0.29769449046733554,599.7223757947812,4.354903855049729,4.354903855049729,4.652598345517065,False,False,,,-0.6071,-0.4315,5
3,pulseHeight_max_std,240.2639838301756,338.7350717494761,313.4965450594491,25.909148102475793,25.909148102475793,-2.826513667667662,0.9741164236741271,-98.47108791930052,-3.800630091341789,3.800630091341789,2.826513667667662,False,False,,,-0.6071,-0.4315,6
3,sideband_mean_median,-5.53512,-0.22895,-0.6602453511565479,1.462721361736071,1.462721361736071,-3.332743184291486,0.29485817493268385,-5.30617,-3.62760135922417,3.62760135922417,3.332743184291486,False,False,,,-0.6071,-0.4315,7
3,pulseDuriation_max_median,414.99,274.99,345.51761051549335,42.206197562417195,42.206197562417195,1.6460234159157905,-1.6710249818452052,140.0,3.3170483977609955,3.3170483977609955,1.6710249818452052,False,False,,,-0.6071,-0.4315,8
3,pulseHeight_max_mean,-160.19950416666669,-313.92877536231885,-306.78362326988776,50.387523619368814,50.387523619368814,2.909135209948571,-0.14180399390940726,153.72927119565216,3.050939203857978,3.050939203857978,2.909135209948571,False,False,,,-0.6071,-0.4315,9
3,sideband_rms_std,0.9694801081019258,24.986403610405567,9.46045703239545,8.356359941359138,8.356359941359138,-1.0161095242281402,1.8579796331134184,-24.01692350230364,-2.8740891573415586,2.8740891573415586,1.8579796331134184,False,False,,,-0.6071,-0.4315,10
3,pulseArea_max_mean,14730.597222222223,30161.246376811596,27475.174254520225,6840.943915988327,6840.943915988327,-1.8629851653237481,0.39264641769882247,-15430.649154589373,-2.255631583022571,2.255631583022571,1.8629851653237481,False,False,,,-0.6071,-0.4315,11
3,pulseHeight_max_median,-23.141199999999998,-149.983,-170.89030702011965,68.74789390642057,68.74789390642057,2.1491437573525567,0.30411560023320294,126.8418,1.8450281571193536,1.8450281571193536,2.1491437573525567,False,False,,,-0.6071,-0.4315,12
3,pulseArea_min_std,14115.522688818866,49006.641697278515,38230.77473185319,18951.47953026925,18951.47953026925,-1.2724733182186387,0.568602939322713,-34891.119008459646,-1.8410762575413517,1.8410762575413517,1.2724733182186387,False,False,,,-0.6071,-0.4315,13
