case,filename,subrun,status,target_channel,feature,observed_value,reference_mean,reference_std_pre_floor,reference_std_used,std_floor_applied,z_score,abs_z,triggered_by_z_threshold,canonical_max_z_exact,canonical_max_z_rounded,canonical_method,canonical_if_score
A,Digitizer_run2014_subrun168.csv,168,ALERT,4,pulseArea_max_std,47008.08253190175,52384.62635189334,16474.260835018355,16474.260835018355,False,-0.32636024607325564,0.32636024607325564,False,1000000.0,1000000.0,statistical,-0.6027
A,Digitizer_run2014_subrun168.csv,168,ALERT,4,sideband_rms_mean,1.8784608333333335,2.4064606881699877,1.7511452638536318,1.7511452638536318,False,-0.30151687911642416,0.30151687911642416,False,1000000.0,1000000.0,statistical,-0.6027
A,Digitizer_run2014_subrun168.csv,168,ALERT,4,sideband_mean_median,0.23706149999999998,0.2720028794465675,0.16660548893748078,0.16660548893748078,False,-0.20972525977027898,0.20972525977027898,False,1000000.0,1000000.0,statistical,-0.6027
A,Digitizer_run2014_subrun168.csv,168,ALERT,4,pulseDuriation_max_mean,306.4483333333333,310.89513187857415,26.713057602959257,26.713057602959257,False,-0.16646535231325263,0.16646535231325263,False,1000000.0,1000000.0,statistical,-0.6027
A,Digitizer_run2014_subrun168.csv,168,ALERT,4,pulseHeight_max_std,447.0954847674478,441.8468742797766,32.300842344848384,32.300842344848384,False,0.1624914431529756,0.1624914431529756,False,1000000.0,1000000.0,statistical,-0.6027
A,Digitizer_run2014_subrun168.csv,168,ALERT,4,frac_dead,0.0,0.0,0.0,1e-06,True,0.0,0.0,False,1000000.0,1000000.0,statistical,-0.6027
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,nPulses_median,2.0,1.0002937720329026,0.014840576898137581,0.014840576898137581,False,67.36303007820105,67.36303007820105,True,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,nPulses_mean,1.7916666666666667,1.425137590359732,0.08146755781691903,0.08146755781691903,False,4.499080199883132,4.499080199883132,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,sideband_mean_mean,-30.312119383333336,-4.596206080345751,7.829397108086973,7.829397108086973,False,-3.2845330167792426,3.2845330167792426,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseDuriation_min_median,137.49,198.47523795534684,20.360548739624612,20.360548739624612,False,-2.9952649476809348,2.9952649476809348,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,sideband_mean_std,184.38952817079945,50.52081971437639,50.582469845610504,50.582469845610504,False,2.6465435330663287,2.6465435330663287,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseHeight_min_mean,-143.99527083333334,-241.5644153278437,37.53052347269319,37.53052347269319,False,2.5997277806556744,2.5997277806556744,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseDuriation_min_mean,174.83375,230.51002420171406,22.709881854280955,22.709881854280955,False,-2.4516320498258657,2.4516320498258657,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,nPulses_std,0.9884079899565406,0.7260815536850674,0.12288217219524472,0.12288217219524472,False,2.1347802662103708,2.1347802662103708,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseHeight_min_median,-42.18615,-82.79995378965914,20.121228507170777,20.121228507170777,False,2.018455472298088,2.018455472298088,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseArea_min_median,1276.5,3107.72958284371,942.344836450366,942.344836450366,False,-1.9432690794397558,1.9432690794397558,False,67.36303007820105,67.36,statistical,-0.5898
